instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekday_name,season_name,temp_celsius,usage_category
1,2011-01-01,1,0,1,0,6,0,Berawan,0.344167,0.363625,0.805833,0.160446,331,654,985,Saturday,Musim Dingin,14.110847,Sangat Rendah
2,2011-01-02,1,0,1,0,0,0,Berawan,0.363478,0.353739,0.696087,0.248539,131,670,801,Sunday,Musim Dingin,14.902598000000001,Sangat Rendah
3,2011-01-03,1,0,1,0,1,1,Cerah,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Monday,Musim Dingin,8.050924,Sangat Rendah
4,2011-01-04,1,0,1,0,2,1,Cerah,0.2,0.212122,0.590435,0.160296,108,1454,1562,Tuesday,Musim Dingin,8.200000000000001,Sangat Rendah
5,2011-01-05,1,0,1,0,3,1,Cerah,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Wednesday,Musim Dingin,9.305237,Sangat Rendah
6,2011-01-06,1,0,1,0,4,1,Cerah,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Thursday,Musim Dingin,8.378268,Sangat Rendah
7,2011-01-07,1,0,1,0,5,1,Berawan,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Friday,Musim Dingin,8.057402,Sangat Rendah
8,2011-01-08,1,0,1,0,6,0,Berawan,0.165,0.162254,0.535833,0.266804,68,891,959,Saturday,Musim Dingin,6.765000000000001,Sangat Rendah
9,2011-01-09,1,0,1,0,0,0,Cerah,0.138333,0.116175,0.434167,0.36195,54,768,822,Sunday,Musim Dingin,5.671653,Sangat Rendah
10,2011-01-10,1,0,1,0,1,1,Cerah,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Monday,Musim Dingin,6.184153,Sangat Rendah
11,2011-01-11,1,0,1,0,2,1,Berawan,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Tuesday,Musim Dingin,6.9327309999999995,Sangat Rendah
12,2011-01-12,1,0,1,0,3,1,Cerah,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Wednesday,Musim Dingin,7.0818069999999995,Sangat Rendah
13,2011-01-13,1,0,1,0,4,1,Cerah,0.165,0.150883,0.470417,0.301,38,1368,1406,Thursday,Musim Dingin,6.765000000000001,Sangat Rendah
14,2011-01-14,1,0,1,0,5,1,Cerah,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Friday,Musim Dingin,6.59567,Sangat Rendah
15,2011-01-15,1,0,1,0,6,0,Berawan,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Saturday,Musim Dingin,9.566653,Sangat Rendah
16,2011-01-16,1,0,1,0,0,0,Cerah,0.231667,0.234217,0.48375,0.188433,251,953,1204,Sunday,Musim Dingin,9.498347,Sangat Rendah
17,2011-01-17,1,0,1,1,1,0,Berawan,0.175833,0.176771,0.5375,0.194017,117,883,1000,Monday,Musim Dingin,7.209153,Sangat Rendah
18,2011-01-18,1,0,1,0,2,1,Berawan,0.216667,0.232333,0.861667,0.146775,9,674,683,Tuesday,Musim Dingin,8.883347,Sangat Rendah
19,2011-01-19,1,0,1,0,3,1,Berawan,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Wednesday,Musim Dingin,11.979134,Sangat Rendah
20,2011-01-20,1,0,1,0,4,1,Berawan,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Thursday,Musim Dingin,10.728347,Sangat Rendah
21,2011-01-21,1,0,1,0,5,1,Cerah,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Friday,Musim Dingin,7.2775,Sangat Rendah
22,2011-01-22,1,0,1,0,6,0,Cerah,0.0591304,0.0790696,0.4,0.17197,93,888,981,Saturday,Musim Dingin,2.4243464,Sangat Rendah
23,2011-01-23,1,0,1,0,0,0,Cerah,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Sunday,Musim Dingin,3.9573897000000002,Sangat Rendah
24,2011-01-24,1,0,1,0,1,1,Cerah,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Monday,Musim Dingin,3.9930433,Sangat Rendah
25,2011-01-25,1,0,1,0,2,1,Berawan,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Tuesday,Musim Dingin,9.162598000000001,Sangat Rendah
26,2011-01-26,1,0,1,0,3,1,Hujan Ringan,0.2175,0.2036,0.8625,0.29385,34,472,506,Wednesday,Musim Dingin,8.9175,Sangat Rendah
27,2011-01-27,1,0,1,0,4,1,Cerah,0.195,0.2197,0.6875,0.113837,15,416,431,Thursday,Musim Dingin,7.995,Sangat Rendah
28,2011-01-28,1,0,1,0,5,1,Berawan,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Friday,Musim Dingin,8.342597999999999,Sangat Rendah
29,2011-01-29,1,0,1,0,6,0,Cerah,0.196522,0.212126,0.651739,0.145365,123,975,1098,Saturday,Musim Dingin,8.057402,Sangat Rendah
30,2011-01-30,1,0,1,0,0,0,Cerah,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Sunday,Musim Dingin,8.877402,Sangat Rendah
31,2011-01-31,1,0,1,0,1,1,Berawan,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Monday,Musim Dingin,7.414153,Sangat Rendah
32,2011-02-01,1,0,2,0,2,1,Berawan,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Tuesday,Musim Dingin,7.8791340000000005,Sangat Rendah
33,2011-02-02,1,0,2,0,3,1,Berawan,0.26,0.254417,0.775417,0.264308,72,1454,1526,Wednesday,Musim Dingin,10.66,Sangat Rendah
34,2011-02-03,1,0,2,0,4,1,Cerah,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Thursday,Musim Dingin,7.665237,Sangat Rendah
35,2011-02-04,1,0,2,0,5,1,Berawan,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Friday,Musim Dingin,8.663464,Sangat Rendah
36,2011-02-05,1,0,2,0,6,0,Berawan,0.233333,0.243058,0.929167,0.161079,100,905,1005,Saturday,Musim Dingin,9.566653,Sangat Rendah
37,2011-02-06,1,0,2,0,0,0,Cerah,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Sunday,Musim Dingin,11.719153,Sangat Rendah
38,2011-02-07,1,0,2,0,1,1,Cerah,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Monday,Musim Dingin,11.138347,Sangat Rendah
39,2011-02-08,1,0,2,0,2,1,Cerah,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Tuesday,Musim Dingin,9.054153,Sangat Rendah
40,2011-02-09,1,0,2,0,3,1,Berawan,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Wednesday,Musim Dingin,5.526102999999999,Sangat Rendah
41,2011-02-10,1,0,2,0,4,1,Cerah,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Thursday,Musim Dingin,5.918268,Sangat Rendah
42,2011-02-11,1,0,2,0,5,1,Cerah,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Friday,Musim Dingin,7.752731000000001,Sangat Rendah
43,2011-02-12,1,0,2,0,6,0,Cerah,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Saturday,Musim Dingin,9.1225,Sangat Rendah
44,2011-02-13,1,0,2,0,0,0,Cerah,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Sunday,Musim Dingin,12.977402000000001,Sangat Rendah
45,2011-02-14,1,0,2,0,1,1,Cerah,0.415,0.39835,0.375833,0.417908,208,1705,1913,Monday,Musim Dingin,17.015,Sangat Rendah
46,2011-02-15,1,0,2,0,2,1,Cerah,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Tuesday,Musim Dingin,10.909567000000001,Sangat Rendah
47,2011-02-16,1,0,2,0,3,1,Cerah,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Wednesday,Musim Dingin,13.048701000000001,Rendah
48,2011-02-17,1,0,2,0,4,1,Cerah,0.435833,0.428658,0.505,0.230104,259,2216,2475,Thursday,Musim Dingin,17.869153,Rendah
49,2011-02-18,1,0,2,0,5,1,Cerah,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Friday,Musim Dingin,21.388347,Rendah
50,2011-02-19,1,0,2,0,6,0,Cerah,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Saturday,Musim Dingin,16.365847,Sangat Rendah
51,2011-02-20,1,0,2,0,0,0,Cerah,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Sunday,Musim Dingin,11.693897,Sangat Rendah
52,2011-02-21,1,0,2,1,1,0,Berawan,0.303333,0.284075,0.605,0.307846,195,912,1107,Monday,Musim Dingin,12.436653000000002,Sangat Rendah
53,2011-02-22,1,0,2,0,2,1,Cerah,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Tuesday,Musim Dingin,7.471102,Sangat Rendah
54,2011-02-23,1,0,2,0,3,1,Cerah,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Wednesday,Musim Dingin,9.091299,Sangat Rendah
55,2011-02-24,1,0,2,0,4,1,Berawan,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Thursday,Musim Dingin,12.121732000000002,Sangat Rendah
56,2011-02-25,1,0,2,0,5,1,Berawan,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Friday,Musim Dingin,14.938268,Sangat Rendah
57,2011-02-26,1,0,2,0,6,0,Cerah,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Saturday,Musim Dingin,11.5825,Sangat Rendah
58,2011-02-27,1,0,2,0,0,0,Cerah,0.343478,0.351109,0.68,0.125248,694,1708,2402,Sunday,Musim Dingin,14.082598,Rendah
59,2011-02-28,1,0,2,0,1,1,Berawan,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Monday,Musim Dingin,16.698193,Sangat Rendah
60,2011-03-01,1,0,3,0,2,1,Cerah,0.266667,0.263879,0.535,0.216425,137,1714,1851,Tuesday,Musim Dingin,10.933347,Sangat Rendah
